CNPJ,CNPJ Formatado,?? cliente ? ,Valor da compra,Mercadoria,Zona,Vendedores,Código do cliente,Potencial de compora,Nome,Razão Social,UF,Nome Fantasia,Latitude,Longitude,Cidade,Bairro,Endereço,CEP,Tipo de Estabelecimento,Funcionários do Grupo,Total de Contatos,??ndicie de Presença Digital,??ndicie Adoção Tecnológica,Tendência de Crescimento do Grupo,Nível de Atividade,Natureza Jurídica,Porte,Total de Filiais,Cnae Principal,Data de Abertura,Faixa de Capital Social,Faturamento anual,Website,E?mail Principal,Telefone Principal,Perfil do Linkedin,Perfil do Instagram,Perfil do Facebook,Perfil do Twitter,Total,Telefone Principal,Telefone Secundário 1,Telefone Secundário 2,Telefone Secundário 3,Demais Telefones,Nome Sócio 1,Qualificação Sócio 1,Nome Sócio 2,Qualificação Sócio 2,Nome Sócio 3,Qualificação Sócio 3,Demais Sócios,E?mails Secundários,Cnae Principal,Cnae Secundário 1,Cnae Secundário 2,Cnae Secundário 3,Demais Cnaes
16727230000197,16.727.230/0001?97,sim,5000,Arroz,Leste,Jose Alves,A? 20230101,Alto,THIAGO EDUARDO,FUNDO DO REGIME GERAL DE PREVIDENCIA SOCIAL,DF,FGRPS,?15.8057603,?47.881303,BRASILIA,ASA SUL,SETOR DE AUTARQUIAS SUL,70070946,MATRIZ,?,?,?,?,?,MEDIA,FUNDO PUBLICO DA ADMINISTRACAO INDIRETA FEDERAL,DEMAIS,0,8430200,2000?05?05,?,+500M,?,?,?,?,?,?,?,?,?,(61) 33134509,,,?,?,?,?,?,?,?,?,?,8430?2/00,?,?,?,?
05526783000165,05.526.783/0001?65,não,5001,Feijão,Oeste,Taila Querido,A? 20230102,Baixo,MAYARA KYSS,MINISTERIO DA CIDADANIA,DF,MINISTERIO DA CIDADANIA,?15.7974,?47.87468,BRASILIA,PLANO PILOTO,ESPLANADA DOS MINISTERIOS BLOCO C,70046900,MATRIZ,?,2,?,?,?,ALTA,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,DEMAIS,3,8411600,2003?02?27,?,+500M,?,?,?,?,?,?,?,?,?,(61) 20302268,(61) 20201998,(61) 20302266,?,?,?,?,?,?,?,?,?,8411?6/00,?,?,?,?
33256439000139,33.256.439/0001?39,sim,5002,Café,Norte,Diogo Coelho,A? 20230103,Medio,IVAN MARQUES DA SILVA FILHO,ULTRAPAR PARTICIPACOES SA,SP,?,?23.561184,?46.64326,SAO PAULO,BELA VISTA,AVENIDA BRIGADEIRO LUIZ ANTONIO,1317910,MATRIZ,51 ? 200,104,?,?,ESTAVEL,ALTA,SOCIEDADE ANONIMA ABERTA,DEMAIS,2,6462000,1953?12?11,+500M,+500M,ultra.com.br,wilson@ultra.com.br,11031776601,?,?,?,?,1,?,(11) 31776601,(11) 31777246,,?,DECIO DE SAMPAIO AMARAL,DIRETOR,RODRIGO DE ALMEIDA PIZZINATTO,DIRETOR,TABAJARA BERTELLI COSTA,DIRETOR,"FREDERICO PINHEIRO FLEURY CURADO,JOAO BENJAMIN PAROLIN,MARCELO PEREIRA MALTA DE ARAUJO",?,6462?0/00,?,?,?,?
12592790000120,12.592.790/0001?20,não,5003,Leite,Sul,Lucas Soares,A? 20230104,Nulo,CAUANA WEBER ANDRADES,COSAN CINCO SA,SP,?,?23.57304,?46.68957,SAO PAULO,ITAIM BIBI,AVENIDA BRIGADEIRO FARIA LIMA,4538132,MATRIZ,?,54,?,?,ESTAVEL,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,0,6462000,2010?09?21,+500M,+500M,cosan.com.br,fiscalizacaocar@raizen.com,?,?,?,?,?,?,?,(19) 34238000,,,?,MARA LOURDES JUSTO PEZZOTTI,DIRETOR,LINEU PAULO MORAN FILHO,DIRETOR,JOSE ALEXANDRE MAGALHAES BAPTISTA,DIRETOR,"GERSON FRANCISCO,FILIPE AFFONSO FERREIRA",?,6462?0/00,?,?,?,?
04745350000138,04.745.350/0001?38,sim,5004,Pão,Leste,Arthur Parahyba,A? 20230105,sem informação,ARILSON VALE,WILKES PARTICIPACOES SA,SP,?,?23.573359,?46.655083,SAO PAULO,JARDIM PAULISTA,AVENIDA BRIGADEIRO LUIS ANTONIO,1402000,MATRIZ,?,?,?,?,EM DECLINIO,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,0,6462000,2001?10?23,+500M,+500M,?,?,?,?,?,?,?,?,?,(11) 38860599,,,?,ARNAUD DANIEL CHARLES WALTER JOACHIM STRASSER,CONSELHEIRO DE ADMINISTRACAO,JUAN JAVIER BORDABERRY HERRAN,DIRETOR,CARLOS EDUARDO PRADO,DIRETOR,?,?,6462?0/00,?,?,?,?
05526783000246,05.526.783/0002?46,não,5005,Milho,Oeste,Jose Alves,A? 20230106,Sem contato,PAMELA LIMA,MINISTERIO DA CIDADANIA,DF,POPSSESAN,?15.7974,?47.87468,BRASILIA,PLANO PILOTO,ESPLANADA DOS MINISTERIOS,70050000,FILIAL,?,2,?,?,?,ALTA,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,DEMAIS,3,8411600,2005?08?19,?,+500M,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
02974336000180,02.974.336/0001?80,sim,5006,Ervilha,Norte,Taila Querido,A? 20230107,Alto,AMBERSON SILVA,MALIBRU AGRO INDUSTRIA DISTRIBUICAO IMPORTACAO E EXPORTACAO SA,CE,ALY,?3.43311,?39.14709,PARAIPABA,ZONA RURAL,FAZENDA SAO JOSE,62685000,MATRIZ,51 ? 200,?,?,?,EM CRESCIMENTO,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,3,151202,1999?01?01,R$100k ? R$1M,+500M,?,?,?,?,?,?,?,?,?,?,?,?,?,JOSE BRUNO BARBOSA DE ALMEIDA,DIRETOR,RAIMUNDO DIAS DE ALMEIDA,PRESIDENTE,IMACULADA MARIA FERREIRA BEZERRA,DIRETOR,?,?,0151?2/02,FABRICACAO DE PRODUTOS DE CARNE,COMERCIO ATACADISTA DE BOLSAS MALAS E ARTIGOS DE VIAGEM,FABRICACAO DE PRODUTOS DE LIMPEZA E POLIMENTO,"COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE,FABRICACAO DE LATICINIOS,FABRICACAO DE CONSERVAS DE PEIXES CRUSTACEOS E MOLUSCOS,PREPARACAO DO LEITE,COMERCIO ATACADISTA DE SUPRIMENTOS PARA INFORMATICA,SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO,COMERCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO CIRURGICO HOSP"
01083200000118,01.083.200/0001?18,não,5007,Lactobacilos vivos,Sul,Diogo Coelho,A? 20230108,Baixo,ANA EMILIA FELIPE DA SILVA,NEOENERGIA SA,RJ,?,?22.92997,?43.17462,RIO DE JANEIRO,FLAMENGO,PRAIA DO FLAMENGO,22210906,MATRIZ,?,369,?,?,EM CRESCIMENTO,ALTA,SOCIEDADE ANONIMA ABERTA,DEMAIS,0,6462000,1996?02?29,+500M,+500M,neoenergia.com,impostos.diretos@neoenergia.com,?,?,?,?,?,?,?,(21) 32359800,(21) 32359800,,?,FRANCISCO JAVIER HERNANDO ISLA,CONSELHEIRO DE ADMINISTRACAO,SOLANGE MARIA PINTO RIBEIRO,DIRETOR,CARLOS HENRIQUE QUADROS CHOQUETA,DIRETOR,"LAURA CRISTINA DA FONSECA PORTO,SANTIAGO MATIAS MARTINEZ GARRIDO,IVES CEZAR FULBER,MARCIO LUIZ MORAL,ANDRE AUGUSTO TELLES MOREIRA,JULIANO PANSANATO DE SOUZA,AIRES HYPOLITO,MARCUS MOREIRA DE ALMEIDA,LARA CRISTINA RIBEIRO PIAU MARQUES,JUSTO GARZON ORTEGA,MARCIO HAMILTON FERREIRA,EDUARDO CAPELASTEGUI SAIZ,ROGERIO ASCHERMANN MARTINS,LEONARDO PIMENTA GADELHA,ALEXANDRE TUJISOKI",?,6462?0/00,COMERCIO ATACADISTA DE ENERGIA ELETRICA,ATIVIDADES DE INTERMEDIACAO E AGENCIAMENTO DE SERVICOS E NEGOCIOS EM GERAL EXCETO IMOBILIARIOS,,?
00378257000181,00.378.257/0001?81,sim,5008,Arroz,Leste,Lucas Soares,A? 20230109,Medio,GABRIEL PEREIRA,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,DF,F N D E,?15.7877,?47.88351,BRASILIA,ASASUL,SETOR BANCARIO SUL QD 02 BL F ED AURE,70070929,MATRIZ,201 ? 500,790,75,88,?,ALTA,AUTARQUIA FEDERAL,DEMAIS,6,8411600,1974?05?13,?,+500M,fnde.gov.br,?,?,http://www.linkedin.com/company/507999,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8411?6/00,?,?,?,?
33256439000210,33.256.439/0002?10,não,5009,Feijão,Oeste,Arthur Parahyba,A? 20230110,Nulo,IGOR DOS ANJOS,ULTRAPAR PARTICIPACOES SA,SP,?,?23.00534,?47.11622,CAMPINAS,DISTRITO INDUSTRIAL,RUA SERGIO FERNANDES BORGES SOARES,13054709,FILIAL,201 ? 500,104,?,?,ESTAVEL,ALTA,SOCIEDADE ANONIMA ABERTA,DEMAIS,2,6462000,2019?09?04,+500M,+500M,?,wilson@ultra.com.br,11031776601,?,?,?,?,?,?,(11) 31777246,(11) 31776601,,?,TABAJARA BERTELLI COSTA,DIRETOR,JOAO BENJAMIN PAROLIN,DIRETOR,FREDERICO PINHEIRO FLEURY CURADO,PRESIDENTE,"MARCELO PEREIRA MALTA DE ARAUJO,RODRIGO DE ALMEIDA PIZZINATTO,DECIO DE SAMPAIO AMARAL",?,?,?,?,?,?
